id;asset_number;service_outlet_code;asset_tag;asset_description;net_book_value_date;asset_category;net_book_value;depreciation_regime;file_upload_token;compilation_token
1;63850;Computer;Buckinghamshire Kwacha Afghani;synthesizing black Virginia;2021-03-23;programming Bacon Account;38438;STRAIGHT_LINE_BASIS;productize program pink;Ghana
2;88270;Underpass Borders Fish;Buckinghamshire convergence Customer-focused;Pike Officer;2021-03-23;Burkina HTTP attitude;15619;DECLINING_BALANCE_BASIS;California transmitter Texas;synergistic Health
3;56937;revolutionize portals;Triple-buffered hack Soft;Bermuda;2021-03-22;up Michigan;35257;STRAIGHT_LINE_BASIS;Metal;standardization pixel
4;90434;embrace;Australia;optimal THX;2021-03-22;quantify Pants Sausages;90182;STRAIGHT_LINE_BASIS;Estate Home;out-of-the-box
5;46483;Tuna quantify web-readiness;Borders SMS bifurcated;Minor National;2021-03-23;copy;25100;STRAIGHT_LINE_BASIS;Factors;Guyana Extended
6;77617;bus;SAS Multi-layered synthesize;hack viral;2021-03-23;Usability transmit User-friendly;66225;STRAIGHT_LINE_BASIS;task-force core Generic;Cambridgeshire Shoes
7;3938;Home;auxiliary architect;Chicken e-business index;2021-03-23;Crossroad;90375;STRAIGHT_LINE_BASIS;SCSI;Incredible Chile
8;70117;COM;magnetic GB;Cambridgeshire Right-sized Iraq;2021-03-22;users grey Connecticut;55517;DECLINING_BALANCE_BASIS;zero;Kentucky grey Technician
9;5179;Practical Generic Lithuania;Product;throughput invoice;2021-03-22;Intranet Cambodia;42410;DECLINING_BALANCE_BASIS;envisioneer;virtual driver
10;78354;Gorgeous Savings architect;relationships;Shoes evolve facilitate;2021-03-22;Virginia Buckinghamshire system;57594;STRAIGHT_LINE_BASIS;Infrastructure;payment
