id;wip_sequence;wip_particulars;transfer_type;transfer_settlement;transfer_settlement_date;transfer_amount;wip_transfer_date;original_settlement;original_settlement_date;asset_category;service_outlet;work_project
1;60062;invoice;Loan;synthesize Investor repurpose;2025-02-03;35378;2025-02-03;Circles Legacy;2025-02-02;Berkshire synthesizing;connecting Plastic;online Ergonomic National
2;60094;synthesizing Gloves;Refined;Computer SQL disintermediate;2025-02-02;64489;2025-02-02;Rubber;2025-02-03;Lodge digital Swiss;Cambridgeshire parsing;transition back-end Keyboard
3;6867;Practical neutral motivating;synthesizing Clothing;indexing;2025-02-02;84815;2025-02-02;Shirt withdrawal;2025-02-02;Music;Estonia Ergonomic;Frozen Accountability
4;18524;JBOD metrics mobile;24/365 complexity;CSS;2025-02-02;18980;2025-02-02;Refined;2025-02-03;invoice;optimal Alaska;Place Metal CSS
5;39416;Computer;Islands;deploy Cambridgeshire Gloves;2025-02-02;15267;2025-02-03;AI;2025-02-03;Technician;strategic;overriding HTTP
6;10193;Creative;Liaison cross-platform website;generating Glen;2025-02-02;88583;2025-02-03;Buckinghamshire schemas copying;2025-02-02;navigate;navigate;Delaware Enhanced
7;81000;open-source cross-media;reciprocal COM;Movies Vermont;2025-02-03;82664;2025-02-02;mobile;2025-02-03;Auto;users;Dollar Small Distributed
8;40469;Mouse;edge;web-enabled panel Buckinghamshire;2025-02-03;15439;2025-02-02;proactive;2025-02-03;relationships empower communities;Afghani;Handmade
9;39342;grey Incredible white;bus Architect;Loaf;2025-02-02;453;2025-02-03;demand-driven Loan Principal;2025-02-03;program Fiji;benchmark parsing Fresh;COM Practical grey
10;58430;panel;Regional;Borders Malaysian;2025-02-03;48337;2025-02-03;Spain Principal;2025-02-02;Regional Right-sized Squares;deposit;Licensed
