id;model_title;model_version;description;rou_model_reference;commencement_date;expiration_date;asset_category_name;asset_account_number;depreciation_account_number;fiscal_period_end_date;lease_amount;net_book_value
1;Rubber Incredible Ball;27326;back-end Radial;Producer;2024-03-13;2024-03-13;Future;Station Shoes Health;Wooden Dakota;2024-03-12;86597;96163
2;black Cambridgeshire capacitor;62458;generating Money;full-range Frozen RAM;2024-03-12;2024-03-12;turquoise;York Cotton;Account;2024-03-12;83548;64681
3;repurpose hard;9812;back Ridge;Malaysia 1080p invoice;2024-03-12;2024-03-12;Director Rustic;Track;Salvador morph;2024-03-12;34829;79199
4;Product methodologies Hawaii;47764;explicit;world-class;2024-03-13;2024-03-12;upward-trending optical Gloves;Singapore out-of-the-box;Ergonomic protocol;2024-03-12;8007;50017
5;Chips Bhutanese;66595;See;Som responsive Handmade;2024-03-12;2024-03-12;THX Small;Guinea Forge Arizona;Cross-group Comoros Tools;2024-03-12;20149;55655
6;Forward;51426;Ethiopia invoice;Direct Cotton Rubber;2024-03-12;2024-03-12;Metal supply-chains;compressing Auto blue;Illinois;2024-03-12;50707;45679
7;Wyoming Frozen;2485;Account;Yuan;2024-03-12;2024-03-12;SMTP Fully-configurable redundant;5th;sensor violet Illinois;2024-03-12;42173;45510
8;intuitive De-engineered;46561;Mouse Salad;cross-platform Crest;2024-03-13;2024-03-13;multi-byte transmit payment;parsing Account;encoding Strategist;2024-03-12;82284;69447
9;Table Lead;84614;Principal;Michigan seize matrix;2024-03-13;2024-03-12;deposit framework fuchsia;transmit initiatives Unbranded;Tennessee;2024-03-13;7832;80870
10;Multi-layered;26404;Practical Tuna e-enable;Accounts Loop;2024-03-12;2024-03-13;SSL;Djibouti;Loan architecture;2024-03-13;20653;24949
