id;model_title;model_version;description;lease_term_periods;rou_model_reference;commencement_date;expiration_date;lease_contract_title;asset_account_number;depreciation_account_number;accrued_depreciation_account_number;asset_category_name;lease_amount;lease_contract_serial_number
1;Unbranded Ball;46528;repurpose;49945;7734f58f-f31c-4ed1-b736-456f5603a1fa;2024-03-12;2024-03-12;Customer extend Investor;River;Senior Account;Concrete Solutions;Upgradable;28539;actuating platforms
2;Global groupware metrics;34280;magenta;2733;15fc80ef-7083-4483-9b0d-b6f691ff6d0f;2024-03-12;2024-03-12;Data;Rubber;hard blue;SDD;Group;66612;needs-based National quantify
3;Arabia SSL Sausages;14969;Steel Awesome monitor;12558;19a24224-db7a-4b0e-a05c-16bea875bb49;2024-03-12;2024-03-13;enable;Customer Fantastic;Credit interface Re-contextualized;Steel;B2B haptic Applications;79900;firewall Granite HDD
4;RAM;52851;Account;57894;2c1d1164-1321-4ca4-9274-d43ead6cd397;2024-03-12;2024-03-13;modular Steel;metrics connecting;Internal Health;Georgia;Rustic;21518;synthesize multi-tasking
5;Taiwan Internal;42241;Consultant;3732;95668a7d-7da9-42c1-afd0-08ee2eabfe26;2024-03-12;2024-03-13;relationships Gloves;deposit Pierre;Gold;parse Arkansas Assimilated;portal iterate multi-byte;45663;Arkansas Bedfordshire Steel
6;Moroccan lime;43279;lavender 24/365 background;69950;f65cebd3-4a23-49c5-a9e8-0da9df595066;2024-03-12;2024-03-13;deg specifically;Buckinghamshire methodical sticky;Internal Marketing Compatible;violet experiences;architecture reintermediate;43719;Rubber
7;eyeballs Account;32098;International;12133;c3ef60e5-1a13-4bdc-87b2-fdc7aed2cab3;2024-03-12;2024-03-12;Concrete Shirt;Bedfordshire COM;bandwidth-monitored non-volatile;online Summit B2C;matrix;30528;port navigate Kids
8;Assistant invoice;71629;synthesize;6151;d617445d-66fb-4a3d-9b99-523f3b0bb831;2024-03-12;2024-03-12;Granite;Texas;Computer Kentucky;quantify Handcrafted azure;Locks New harness;21485;Representative port
9;24/7;86116;SSL;85301;b7382a0a-1aa6-4189-a4bf-9882d0361ea6;2024-03-13;2024-03-12;Account Tactics Group;PCI navigate generate;PNG Intranet embrace;transmitter;CSS Islands Account;65101;dynamic embrace Product
10;moratorium Trinidad;33893;Lesotho Rubber Cambridgeshire;86863;a9696522-f845-48da-8bcc-7e46398901a4;2024-03-12;2024-03-12;Manager neural cutting-edge;1080p Mexico payment;Fresh Wooden up;SAS bus Fall;Alaska Berkshire;66474;asynchronous Secured SAS
