id;business_economic_activity_code;section;section_label;division;division_label;group_code;group_label;class_code;business_economic_activity_type;business_economic_activity_type_description
1;Frozen national;granular Plain;project;Guarani;Research bluetooth robust;Executive communities;systemic;Berkshire aggregate;strategize Fantastic;../fake-data/blob/hipster.txt
2;Horizontal software;bypassing;transmitting;bus Customer seamless;withdrawal Mississippi;back-end;Administrator transform gold;open-source Representative;withdrawal XSS;../fake-data/blob/hipster.txt
3;Cambridgeshire;plug-and-play flexibility;Tools cutting-edge Metrics;monetize Data hack;cross-platform Illinois applications;Gorgeous;Designer;uniform Cove Cotton;Fantastic deposit;../fake-data/blob/hipster.txt
4;Nevada Forward parsing;Avon Kyrgyz;Credit Incredible Computers;Cheese copying;Paradigm Handcrafted input;cultivate Assurance Toys;Internal compress impactful;Investor;Product withdrawal connecting;../fake-data/blob/hipster.txt
5;monitor Gloves Interface;navigate system;virtual grow;Wooden blockchains Shore;capability;multi-byte Oregon web-readiness;compressing THX;transparent Fresh benchmark;Illinois calculate;../fake-data/blob/hipster.txt
6;Borders;payment withdrawal;View Brook aggregate;parse;Spain;olive Strategist;Track Forward;Sausages;card Crest Rest;../fake-data/blob/hipster.txt
7;partnerships Gorgeous;program bleeding-edge;Developer forecast;Vermont;program;array Omani black;backing Colorado;Principal recontextualize Berkshire;task-force Small;../fake-data/blob/hipster.txt
8;firewall;indexing Computer;parsing deposit;defect Ireland Burg;wireless;Throughway;program Forge;applications;analyzer reinvent;../fake-data/blob/hipster.txt
9;payment Money;National mission-critical;grid-enabled calculating Estates;Forward Account Quality;Cloned;extensible;supply-chains leading-edge actuating;open-source Designer;Plastic Handmade;../fake-data/blob/hipster.txt
10;intangible;Steel;firewall logistical Burundi;Licensed deposit Balboa;Computer Mexico dot-com;back-end Fresh morph;Investment;Personal 1080p card;salmon Dominican Money;../fake-data/blob/hipster.txt
