id;asset_number;service_outlet_code;asset_tag;asset_description;purchase_date;asset_category;purchase_price;file_upload_token
1;92860;Multi-lateral Avon;Andorra silver;calculate compressing;2021-03-23;Car;30252;Grass-roots
2;14847;Handmade Dynamic back-end;Rubber Maine Ball;Central;2021-03-22;firewall;61832;Mountain compelling
3;70287;Bahamas SCSI;eyeballs integrate Home;Shoes Swiss Regional;2021-03-22;Cliffs;83572;content invoice
4;17481;multi-byte Centralized;metrics;utilize Frozen;2021-03-22;Israel Car Orchestrator;55952;Pizza Salad
5;64334;Fantastic sensor Louisiana;Refined connecting Dynamic;Nevada;2021-03-22;payment;38321;override Borders Cheese
6;17197;generating Oregon;Rustic Keyboard;Dynamic;2021-03-22;orchid navigating;77543;turquoise Cross-platform
7;67119;Dynamic Architect Ways;Hat ivory plug-and-play;withdrawal;2021-03-23;Guadeloupe connecting;61134;synergy
8;64435;Leone Phased GB;SSL visualize back-end;Savings Oklahoma;2021-03-22;Bedfordshire solid;44011;Home
9;53832;Nebraska;Multi-channelled bypass Soft;National;2021-03-22;generate Georgia Plaza;6981;Soap Garden
10;6981;program action-items hard;Jewelery;Functionality;2021-03-22;Licensed;68350;Verde
