id;lease_contract_number;fiscal_period_code;fiscal_period_end_date;asset_category_name;debit_account_number;credit_account_number;description;short_title;rou_asset_identifier;sequence_number;depreciation_amount;outstanding_amount
1;GB bandwidth;Tactics web-enabled;2024-03-12;morph methodology;value-added Rubber;Concrete;holistic;quantifying Brand;Plastic users matrix;69345;87728;91431
2;transmitting;Concrete Common;2024-03-12;engage connect;leverage withdrawal;Books target;Supervisor Field Loan;framework Streamlined Oval;interfaces;56428;15303;85023
3;Frozen;bleeding-edge;2024-03-13;parse;Chief;Cotton 1080p;Sausages;paradigm Granite;Account protocol;60923;61902;5748
4;View;Tunnel Islands;2024-03-12;withdrawal Leone Administrator;calculating SAS;Regional Avon;Baby;Ergonomic;Spur Denar;83290;99888;34622
5;contextually-based dedicated Reverse-engineered;Ukraine Home;2024-03-12;Sleek;mobile;Soap Texas hacking;bluetooth Unbranded lavender;Fresh;Granite Account;10605;60344;33442
6;bandwidth-monitored Squares;Sao;2024-03-13;Grocery Bedfordshire Customer;Bahamas synthesize;Refined executive hack;Configuration;synthesize;Dynamic markets;94352;62165;19783
7;Wooden integrate Clothing;bluetooth systems connect;2024-03-13;Response multi-byte;grow Wooden Soft;program Bedfordshire;Dakota;program;circuit transmit;63353;21492;66352
8;schemas support Avon;copying;2024-03-13;customized Regional;Uruguay;convergence;quantifying;Rustic program;feed grid-enabled invoice;52155;54676;18051
9;Swaziland Innovative;Tactics leading-edge;2024-03-12;directional Factors Home;override Buckinghamshire;copy Florida;Borders Fresh;red Checking green;Table black;13656;78619;28628
10;ivory protocol;Practical;2024-03-12;intuitive;Zambia;visionary Tasty Escudo;bus Cheese;Pizza;Cotton Fantastic mobile;13965;47053;45434
