id;bank_code;bank_name;branch_code;branch_name
1;auxiliary;Frozen;capability;Ways mindshare Clothing
2;Salad;Central;actuating ivory;Wooden
3;Tasty context-sensitive mindshare;Soft Chicken;Soap JSON Point;Loan Flats
4;Texas Incredible asynchronous;Usability collaborative;Croatian transition;GB primary
5;Customer Granite Italy;scalable hack;orchestration CSS blue;killer
6;Frozen Handmade;blockchains;Texas;rich
7;back;compressing;supply-chains channels Timor-Leste;24/7 Account
8;Automotive Metal Electronics;Rubber;intranet Handmade;Licensed Shoes navigating
9;Gorgeous purple;protocol firewall Investor;Human mobile Plastic;overriding Cuba
10;evolve Cheese Cotton;challenge;B2C parsing Engineer;alarm Bedfordshire
