id;payment_number;payment_date;payment_amount;description;notes;calculation_file;calculation_file_content_type;file_upload_token;compilation_token;settlement_currency_id;payment_category_id;biller_id
1;Hawaii Georgia TCP;2022-02-02;17346;deposit yellow synthesize;incubate;../fake-data/blob/hipster.png;image/png;COM;Investor stable synthesize;1;1;1
2;Data architectures;2022-02-03;20064;California matrix;Berkshire XML Director;../fake-data/blob/hipster.png;image/png;Communications;deposit systems;2;2;2
3;empower;2022-02-02;46095;Granite;Total Wells facilitate;../fake-data/blob/hipster.png;image/png;Towels;Via Realigned silver;3;3;3
4;drive panel;2022-02-02;67242;Incredible Quality;North Bedfordshire Group;../fake-data/blob/hipster.png;image/png;Investor;silver;4;4;4
5;e-tailers indexing Practical;2022-02-02;94128;reboot;Small;../fake-data/blob/hipster.png;image/png;generate;grey;5;5;5
6;Quality Hat Papua;2022-02-03;51152;microchip redundant Creative;B2B sky;../fake-data/blob/hipster.png;image/png;User-centric Maryland Shoes;Metal back-end core;6;6;6
7;Plastic systems;2022-02-02;2297;Azerbaijan;Pants navigate optical;../fake-data/blob/hipster.png;image/png;Massachusetts Rubber withdrawal;Fundamental;7;7;7
8;PNG;2022-02-03;26493;Stravenue Accounts;National Mississippi Yen;../fake-data/blob/hipster.png;image/png;database Intelligent;withdrawal Washington calculate;8;8;8
9;Secured infrastructures scale;2022-02-03;32674;Frozen;mission-critical Networked viral;../fake-data/blob/hipster.png;image/png;convergence;plum;9;9;9
10;Managed;2022-02-02;25623;Bulgaria alarm Unit;Functionality SSL Unbranded;../fake-data/blob/hipster.png;image/png;Fish holistic;Ball Managed strategy;10;10;10
