id;asset_number;service_outlet_code;asset_tag;asset_description;purchase_date;asset_category;purchase_price;file_upload_token
1;92860;Multi-lateral Sleek Steel Car;Andorra collaboration;generating calculate revolutionize;2021-03-23;Gorgeous Car orange;29306;rich
2;14847;Handmade reboot Uzbekistan Sum;Plastic hacking Home Loan Account;customized Ball;2021-03-23;Central;60627;Shoes Reunion Investment Account
3;45989;Money Market Account Creative;back-end Licensed Fresh Salad recontextualize;red integrate;2021-03-22;portal;80461;interface
4;70134;iterate;payment Practical Steel Table;Michigan schemas invoice;2021-03-23;Buckinghamshire;57249;Centralized Directives
5;43044;Awesome Cotton Chair Avon Technician;Operations ROI Car;Orchestrator;2021-03-23;Georgia connecting;18266;orchid Lead orchestrate
6;51769;sensor;Louisiana Tunnel;bypassing;2021-03-22;Virginia Open-source;12822;Mauritania Specialist
7;66647;Innovative Syrian Pound;sexy;Dale solid state;2021-03-23;generating multi-byte;73461;California Plastic Keyboard
8;63348;Dynamic;Applications orchid;navigating;2021-03-23;Savings Account Flat Cross-platform;16689;circuit deposit Architect
9;55559;Liaison hacking;Distributed connect;Marketing Generic;2021-03-23;Organized;52461;Buckinghamshire Macao
10;61134;synergy;invoice Sierra Leone;Phased Cambridgeshire;2021-03-23;IB Multi-tiered;38656;projection Metal seamless
