id;entity_id;entity_name;contact_type;contact_level;contact_value;contact_name;contact_designation
1;Ways Tools Planner;black;Handmade cyan Legacy;Sleek parsing Buckinghamshire;reinvent end-to-end blue;Frozen;Fresh programming AI
2;solid;bus Pass;maximized;Seamless;Sausages Metal;disintermediate;Fresh Bypass
3;online invoice Soft;teal IB Rubber;Generic;Fish;invoice wireless;withdrawal;Rustic program
4;copy;Italy;Cambridgeshire;Multi-tiered;Luxembourg;Small back-end;Credit Tuna
5;e-tailers China hierarchy;concept B2B;Arizona Cambridgeshire;Cambridgeshire value-added;overriding Associate;online mobile synergy;Associate Shoes Lodge
6;navigate generate clear-thinking;Steel;out-of-the-box infrastructures programming;Car Loan eco-centric;Benin Representative;Oklahoma withdrawal Illinois;invoice
7;Small Texas Avon;Gibraltar;Optional Georgia;back-end;Computer Loan invoice;Steel Agent;deposit Unbranded
8;Usability Legacy Metal;interactive Corporate override;primary;Kids;Practical deliverables teal;synergistic wireless;deposit Soap
9;auxiliary;Account;digital Loan;THX Inverse;Steel Central;Tuna collaborative;Malawi
10;Tuna Beauty Loan;SSL action-items;Cambridgeshire 24/7 collaboration;Frozen Nevada parse;Health Reactive;Industrial;Kwanza bypassing
