id;asset_number;nbv_amount;previous_nbv_amount;asset_description;batch_sequence_number;processed_items;total_items_processed;elapsed_months;prior_months;useful_life_years;capitalization_date;transaction_number;transaction_date;depreciation_period_start_date;depreciation_period_end_date;service_outlet_code;asset_category_name;depreciation_period_title;compilation_job_title
1;Multi-lateral synergize;72443;90786;Frozen invoice extensible;Licensed Product;86410;25487;73051;77629;11167;Granite Open-source;network hard Paradigm;Rubber;intermediate;Dollar Tasty;sticky;Investment;calculating violet Checking;Marshall Human
2;Sports Engineer;44404;5243;Account bandwidth;Research e-commerce generation;36904;2247;33158;98421;20225;encompassing Games Glen;Dollar HTTP;Wooden Franc;empower;Sports;bypassing web-readiness reinvent;Sausages;Administrator e-markets;International
3;Club;51030;86364;Frozen;framework Designer Lilangeni;26921;23190;98734;1769;87712;Bedfordshire;website pixel Administrator;Gorgeous sensor schemas;Metal Wyoming;fuchsia Berkshire;e-business Wooden Toys;Avon;bus EXE;Centers
4;Compatible Towels;20457;6605;Central robust GB;Extended Tasty paradigms;72187;71916;63291;61524;57065;THX;digital;Granite;reinvent navigating;District Washington violet;Chad;Account orchestrate;Arizona deliverables;Jan Station Creative
5;Chair Tasty deposit;24037;19420;Devolved Generic;Frozen Guilder Plastic;76394;59564;88873;26064;47251;Stravenue firewall Sleek;Facilitator generating;hack;PNG end-to-end Arizona;Cambridgeshire Account Fresh;Engineer Cambridgeshire Bedfordshire;optimal circuit Neck;Regional Uzbekistan;pink user-centric
6;JSON Borders;67424;30238;Tuna;Incredible quantifying Account;24497;28773;65771;11507;31778;Exclusive;Human Guilder;transmit support;back-end;Rubber;hacking Soap Malta;mindshare orange utilisation;relationships Investment;deposit
7;Michigan Multi-channelled Lead;5823;62698;Sports;RAM Bedfordshire;5865;56455;60771;13018;90431;Mozambique lime Buckinghamshire;invoice;real-time;Universal Coves Account;Yemen;Guinea;redefine;copy;payment Computers Towels
8;Rubber;18064;40264;Sleek Producer Specialist;synthesize;15013;82256;28437;68515;58298;Sausages;Locks;Dynamic COM Buckinghamshire;e-tailers Ameliorated;overriding panel;object-oriented;B2B Washington;synthesize neural Licensed;SSL
9;RSS applications COM;16538;81127;collaboration Marshall deposit;Tasty Dakota silver;51397;33778;28989;87177;57063;emulation;Shirt white;drive;Dollar compressing;Ball e-commerce initiatives;Pizza protocol;Arkansas Gloves optical;moratorium;Jewelery synthesize cross-platform
10;Alabama dynamic;26227;44465;Wooden Togo;Pants Senegal;187;26363;34577;6272;10617;Future-proofed Assistant ability;plug-and-play Via;Account Rest;Facilitator program Engineer;Illinois Plastic;Music blockchains;Auto;Beauty white;Gloves overriding
