id;item_code;attribute_1_receipt_payment_purpose_code;attribute_1_receipt_payment_purpose_type;attribute_2_receipt_payment_purpose_code;attribute_2_receipt_payment_purpose_description;attribute_3_receipt_payment_purpose_code;attribute_3_receipt_payment_purpose_description;attribute_4_receipt_payment_purpose_code;attribute_4_receipt_payment_purpose_description;attribute_5_receipt_payment_purpose_code;attribute_5_receipt_payment_purpose_description;last_child
1;withdrawal Account;Towels orchestration Account;Rubber Pakistan green;copying;Utah;Yemen open-source;Mouse Buckinghamshire Security;Cheese Shoes Lodge;unleash Versatile;viral Towels;Architect Buckinghamshire lavender;cyan Human Plastic
2;Industrial Gloves;Accounts;Strategist Kenya full-range;Chips;Washington;New;Chips users;set;Lebanon;Table;Brazilian Fantastic;connect
3;payment Oman Pants;Future;Legacy invoice core;content Outdoors e-business;bus;Arkansas;leverage support Accounts;Home;Cheese Future;Expanded;payment Movies;Principe Checking
4;SCSI Villages synthesizing;Bedfordshire Lead;Concrete microchip;compress Table back;scale hack;Customizable artificial Bedfordshire;navigate value-added connecting;Field;back-end boliviano Table;Borders;bypass;discrete
5;transmitter encompassing Focused;compressing;transmitter Tools Islands,;methodologies Forward;Court hacking;Lodge Tools;Mandatory systemic lime;Assistant;Oregon;invoice Fresh exploit;Unbranded;virtual Gibraltar Associate
6;Senior Associate bluetooth;back deposit;Rapid Lilangeni;purple GB bypassing;THX architect;El back-end;Loan;Valley Denar bandwidth;Engineer Persistent Corporate;synthesizing generate;invoice Cheese optical;Implementation Bedfordshire Gorgeous
7;SSL;world-class Loan Investment;Manager Senior;Salad Handmade;SCSI Iran front-end;Computer parsing;generating Books;Dinar;Uzbekistan;back-end multi-state communities;Buckinghamshire;Cambridgeshire Colorado
8;generating;Bolivia;Dakota overriding blockchains;Dollar generate Kwacha;connecting standardization Gorgeous;application Costa;override circuit;Loan;Zloty Corners groupware;Associate asynchronous Buckinghamshire;Fantastic Home;6th protocol
9;compress scalable Springs;Car;program;grid-enabled;Niue Sierra navigating;compressing array online;transmitting Tools Assistant;Cotton;orchestrate;Home drive services;Wooden Chair Steel;invoice Cross-group backing
10;Krona;Health Checking;blue Cuban array;Dynamic Concrete front-end;expedite;SMTP bypass RAM;Paraguay Representative Zloty;cross-media;Wyoming;Unbranded;metrics calculating;vortals
