id;document_title;description;document_serial;last_modified;attachment_file_path;document_file_content_type;file_tampered;document_file_checksum;created_by_id;originating_department_id;file_checksum_algorithm_id;security_clearance_id
1;Re-engineered structure Games;Refined defect;ab006342-d447-4ad3-8779-79b4bb4a136a;2022-10-18T16:02:57;instruction superstructure;Wooden conglomeration Home;false;XML Operative;1;1;1;1
2;virtual;repurpose Borders Maine;0bda1522-7963-41b0-bc28-8078b9c29eac;2022-10-18T16:21:36;AGP Islands;fuchsia Fantastic indexing;false;Bermuda;2;2;2;2
3;Central synthesizing;Avon Oklahoma;75ff5f8b-4afe-4fce-85b8-8354b6c7a361;2022-10-19T10:18:43;Berkshire;input Car;false;Ferry Cambridgeshire;2;3;3;3
4;Colorado;Fantastic;72935110-b7d9-4234-bc58-c92e4d8f205f;2022-10-19T01:19:21;parsing;RAM hierarchy IB;false;USB Industrial Handmade;2;4;4;4
5;innovative Investor;Berkshire Frozen convergence;86f19c07-76a9-4879-b5c2-4ae35f44fb15;2022-10-19T07:48:06;Borders;Bacon Bosnia Operative;false;up Designer synthesize;1;5;5;5
6;payment Ferry generating;Brook alarm;5953dc84-170b-4682-8fc4-57767ea767ed;2022-10-19T02:14:17;Grocery payment application;Assistant Concrete heuristic;false;Program Team-oriented;2;6;6;6
7;Handmade tan;generate Communications;f81f60c8-ab50-4540-be08-aec0b3ef2271;2022-10-18T19:32:42;Cedi Wooden;bandwidth Connecticut;false;optical Virginia invoice;2;7;7;7
8;mint calculating;analyzer parsing Borders;fb4158fd-037d-484b-ac93-a6312fbefac3;2022-10-19T08:48:45;Centers;ability;true;Object-based structure;2;8;8;8
9;strategy quantify;Buckinghamshire;a8aee453-109d-4ef9-8f6c-9e16ad89fa7a;2022-10-18T15:08:05;JSON parse Fish;FTP;true;moderator incubate;2;9;9;9
10;JBOD Handmade Costa;Cotton Mouse supply-chains;213c2382-a1b4-4553-9fc1-b4cdba9826da;2022-10-19T02:36:01;asynchronous;website;true;Assurance extend;2;10;10;10
