id;asset_number;asset_tag;service_outlet_code;transaction_id;transaction_date;capitalization_date;asset_category;asset_details;asset_cost;supplier;invoice_number;lpo_number;wip_transfer;wip_transfer_amount
1;Corporate;synthesize Operations;sticky scalable white;purple;2024-01-24;2024-01-24;violet Granite;circuit streamline Communications;31158;deposit;Product Clothing digital;leverage architecture Central;false;21249
2;indexing Unbranded;Loan;reintermediate matrix Refined;Wooden withdrawal;2024-01-25;2024-01-24;Nebraska;open-source haptic;56361;Refined;Central Route;Rubber Radial interfaces;true;92260
3;IB superstructure;Table;Wooden Cambridgeshire Function-based;Granite;2024-01-24;2024-01-24;Card Auto;Villages Taiwan Compatible;51381;content-based Wooden Buckinghamshire;visionary Concrete;Anguilla;true;9998
4;Granite;Shoes;array indigo Investment;Pizza;2024-01-25;2024-01-24;Central;Wooden;82768;Account Rustic CSS;Steel mobile incremental;hacking Buckinghamshire Gloves;false;76145
5;Refined;white radical service-desk;transform Barthelemy Configuration;Ergonomic;2024-01-24;2024-01-24;gold Handmade;platforms Peso;72279;Balanced Outdoors;Nevis;4th Hungary Accounts;false;85508
6;capacitor purple Guarani;deposit implement;Canyon yellow compressing;task-force Wisconsin cross-media;2024-01-24;2024-01-24;Hat;morph application Toys;92406;Internal Soft Metal;firewall Intelligent;Branding metrics invoice;true;96006
7;portals yellow California;Designer Steel yellow;connecting blue;e-markets;2024-01-24;2024-01-24;compress invoice;optical Florida;95116;Salad Analyst;encryption;productize Handmade Facilitator;false;32863
8;Secured multi-state program;Account salmon;quantify;syndicate bifurcated Robust;2024-01-24;2024-01-24;Metal Colorado;compressing open-source deliver;48064;Supervisor neutral;Causeway Buckinghamshire;24/365 Officer deposit;true;66932
9;Fields Alaska Global;Ergonomic Tunisian Engineer;Handcrafted De-engineered;cross-media GB;2024-01-24;2024-01-24;withdrawal Grass-roots;gold reinvent integrate;49799;Dynamic;Canyon hierarchy adapter;neural Steel Ruble;false;1123
10;Upgradable;Dam;protocol bypassing Ball;capacitor Car recontextualize;2024-01-24;2024-01-24;engineer;deposit virtual Forward;82269;neural-net;orange matrix leading-edge;Ecuador Tasty;true;68153
