id;booking_id;lease_title;short_title;description;inception_date;commencement_date;serial_number;superintendent_service_outlet_id;main_dealer_id;first_reporting_period_id;last_reporting_period_id
1;Grocery Clothing Mount;EXE Fish;implementation mobile Mouse;Internal Chief Internal;2024-03-06;2024-03-06;279072e6-72d2-42e2-8428-7f1bad8e2d19;1;1;1;1
2;encoding Customizable 6th;copy Garden calculate;initiative;holistic Niger;2024-03-06;2024-03-06;f2c368c7-9a09-4631-bc92-dd7b088816aa;2;2;2;2
3;Focused Group;Bangladesh;generating Granite;Tasty;2024-03-06;2024-03-06;0b1ff095-6780-4128-9790-541e83ef0cda;3;3;3;3
4;Common SMS transform;Direct programming;Central Innovative;schemas holistic Utah;2024-03-06;2024-03-06;9b892cbd-3e0b-4459-ad2d-1463f695aee2;4;4;4;4
5;azure;Keyboard GB;Web card Cliff;Automated back-end;2024-03-06;2024-03-07;7f2b9b6a-efcd-4964-bec7-86ddb39d2455;5;5;5;5
6;Small interfaces Specialist;compelling bypass Cotton;Dynamic Concrete virtual;Diverse;2024-03-06;2024-03-06;28ca71cc-fcde-4bc2-9f4f-587397d09970;6;6;6;6
7;zero networks;Table base;Kwanza optical Data;Soft Central;2024-03-06;2024-03-06;318d502f-eda6-4582-a9fd-2deddaa55dc3;7;7;7;7
8;override Granite Bike;definition Small;invoice whiteboard;benchmark Specialist rich;2024-03-06;2024-03-06;24a088d4-dd7f-4457-b514-0c27859b6840;8;8;8;8
9;index withdrawal Paradigm;Steel Marketing Cheese;back-end;Customer-focused;2024-03-06;2024-03-06;cd6f9374-d018-4df6-844a-7ff793b77c1e;9;9;9;9
10;back;Money Bahrain;mobile Square Plastic;cross-platform;2024-03-06;2024-03-06;23046e3e-ca5c-46a7-9644-d4048c68be81;10;10;10;10
