id;asset_number;service_outlet_code;asset_tag;asset_description;depreciation_date;asset_category;depreciation_amount;depreciation_regime;file_upload_token;compilation_token
1;79962;bypass actuating;Practical discrete Phased;HTTP;2021-03-23;PNG Hungary architectures;57311;STRAIGHT_LINE_BASIS;Incredible Concrete Hat Wooden bypassing;overriding Liberian Dollar
2;95033;Zimbabwe Dollar bus;Investment Account firewall;Soft viral connecting;2021-03-23;digital Saudi Riyal;91219;DECLINING_BALANCE_BASIS;Massachusetts;archive Philippine Peso
3;90776;Corporate Sausages Valley;Keyboard;Supervisor;2021-03-23;Key payment;20214;STRAIGHT_LINE_BASIS;District;Soap empowering
4;77144;black blue Multi-channelled;Granite EXE;distributed;2021-03-23;digital benchmark Concrete;69397;DECLINING_BALANCE_BASIS;Fantastic feed IB;Synergized
5;44961;task-force navigating Lead;Licensed Frozen Shoes scale back up;Industrial;2021-03-22;Sleek Rustic Cotton Mouse deliverables;96011;DECLINING_BALANCE_BASIS;Practical View green;Fantastic Steel
6;8866;withdrawal;Practical Fresh Chips;Dong;2021-03-23;Communications generate;66611;STRAIGHT_LINE_BASIS;Belarus multi-byte;Unbranded Cotton Bacon transmit
7;54940;data-warehouse;SCSI program;Berkshire Data needs-based;2021-03-22;Palestinian Territory New Mexico Unbranded Cotton Shoes;26973;DECLINING_BALANCE_BASIS;Sausages;1080p Tasty Cotton Pizza Technician
8;53259;sky blue;Algerian Dinar;wireless pixel Arizona;2021-03-22;reboot Personal Loan Account Licensed;80992;STRAIGHT_LINE_BASIS;solid state Sports Reactive;Gorgeous Fresh Computer Dynamic Tactics
9;76008;Representative;Car;well-modulated;2021-03-23;extend Ways payment;13671;STRAIGHT_LINE_BASIS;vertical forecast;Fully-configurable sticky
10;10867;Home Loan Account;Profound infomediaries Direct;Rustic;2021-03-23;Interactions Principal Home Loan Account;91914;STRAIGHT_LINE_BASIS;indexing;synthesizing Unbranded
