id;description;time_sent;token_value;received;actioned;content_fully_enqueued
1;teal;57154;process improvement Cotton;true;true;false
2;North Dakota Gloves;27432;Investment Account Tugrik;false;true;false
3;Outdoors deposit;18833;Soap;true;false;true
4;Metal HDD Wooden;90051;Niger Assurance copy;true;true;false
5;Handcrafted;91198;Forges interactive empower;false;false;false
6;Home Loan Account circuit;73854;generate Optional;true;true;false
7;Kuwait;98457;invoice Bacon Movies;true;false;false
8;Kina Tuna optical;93551;Cotton;false;true;true
9;Small Pizza;65619;Games;true;true;false
10;Gardens;79252;Personal Loan Account RSS Gorgeous;false;true;true
